datetime,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率
2026-03-11 10:05:00,1401.5,1403.0,1403.0,1400.0,0.07,1.0,524,73381367.0,0.21,0.0
2026-03-11 10:10:00,1402.96,1401.17,1403.0,1400.5,-0.13,-1.83,327,45783566.0,0.18,0.0
2026-03-11 10:15:00,1401.88,1399.64,1402.43,1399.0,-0.11,-1.53,640,89636378.0,0.24,0.01
2026-03-11 10:20:00,1399.64,1400.01,1401.0,1399.64,0.03,0.37,540,75640636.0,0.1,0.0
2026-03-11 10:25:00,1399.98,1402.5,1402.5,1399.78,0.18,2.49,520,72828678.0,0.19,0.0
2026-03-11 10:30:00,1402.5,1401.0,1402.5,1400.51,-0.11,-1.5,303,42464764.0,0.14,0.0
2026-03-11 10:35:00,1401.14,1402.5,1403.3,1401.0,0.11,1.5,690,96740608.0,0.16,0.01
2026-03-11 10:40:00,1402.98,1402.0,1403.5,1401.1,-0.04,-0.5,490,68730217.0,0.17,0.0
2026-03-11 10:45:00,1402.0,1399.4,1402.0,1399.0,-0.19,-2.6,731,102315939.0,0.21,0.01
2026-03-11 10:50:00,1399.48,1399.94,1400.46,1399.4,0.04,0.54,521,72939463.0,0.08,0.0
2026-03-11 10:55:00,1399.96,1401.8,1401.8,1399.93,0.13,1.86,420,58772821.0,0.13,0.0
2026-03-11 11:00:00,1402.0,1400.67,1402.28,1400.38,-0.08,-1.13,400,56039510.0,0.14,0.0
2026-03-11 11:05:00,1400.67,1399.68,1401.02,1399.51,-0.07,-0.99,467,65327966.0,0.11,0.0
2026-03-11 11:10:00,1399.66,1401.06,1402.0,1399.66,0.1,1.38,246,34468417.0,0.17,0.0
2026-03-11 11:15:00,1401.07,1401.9,1402.16,1401.06,0.06,0.84,338,47377404.0,0.08,0.0
2026-03-11 11:20:00,1402.0,1400.58,1402.0,1400.51,-0.09,-1.32,287,40220892.0,0.11,0.0
2026-03-11 11:25:00,1400.55,1400.58,1401.29,1400.01,0.0,0.0,352,49306722.0,0.09,0.0
2026-03-11 11:30:00,1400.3,1399.97,1401.0,1399.55,-0.04,-0.61,582,81480911.0,0.1,0.0
2026-03-11 13:05:00,1399.96,1399.77,1400.5,1399.58,-0.01,-0.2,615,86131773.0,0.07,0.0
2026-03-11 13:10:00,1399.88,1399.71,1400.19,1399.5,0.0,-0.06,297,41572909.0,0.05,0.0
2026-03-11 13:15:00,1399.71,1400.03,1400.03,1399.5,0.02,0.32,334,46750891.0,0.04,0.0
2026-03-11 13:20:00,1400.2,1400.49,1400.9,1400.05,0.03,0.46,367,51400152.0,0.06,0.0
2026-03-11 13:25:00,1400.5,1400.94,1401.0,1400.41,0.03,0.45,253,35439558.0,0.04,0.0
2026-03-11 13:30:00,1400.5,1400.5,1401.2,1400.41,-0.03,-0.44,328,45949736.0,0.06,0.0
2026-03-11 13:35:00,1400.5,1400.19,1400.94,1399.98,-0.02,-0.31,379,53069494.0,0.07,0.0
2026-03-11 13:40:00,1400.19,1400.03,1400.19,1399.6,-0.01,-0.16,341,47766247.0,0.04,0.0
2026-03-11 13:45:00,1400.05,1399.83,1401.0,1399.83,-0.01,-0.2,378,52932518.0,0.08,0.0
2026-03-11 13:50:00,1399.99,1399.97,1400.16,1399.66,0.01,0.14,304,42555799.0,0.04,0.0
2026-03-11 13:55:00,1399.97,1399.9,1400.6,1399.68,-0.01,-0.07,427,59780715.0,0.07,0.0
2026-03-11 14:00:00,1399.83,1399.55,1400.51,1399.5,-0.03,-0.35,503,70405353.0,0.07,0.0
2026-03-11 14:05:00,1399.6,1400.57,1400.6,1399.53,0.07,1.02,392,54880185.0,0.08,0.0
2026-03-11 14:10:00,1400.6,1400.2,1400.75,1399.69,-0.03,-0.37,410,57415026.0,0.08,0.0
2026-03-11 14:15:00,1400.0,1400.2,1400.32,1399.88,0.0,0.0,400,56003837.0,0.03,0.0
2026-03-11 14:20:00,1400.2,1399.35,1400.31,1399.1,-0.06,-0.85,617,86315891.0,0.09,0.0
2026-03-11 14:25:00,1399.45,1399.58,1400.0,1399.26,0.02,0.23,450,62975625.0,0.05,0.0
2026-03-11 14:30:00,1399.58,1399.41,1400.0,1399.25,-0.01,-0.17,423,59197397.0,0.05,0.0
2026-03-11 14:35:00,1399.4,1399.98,1400.08,1399.39,0.04,0.57,513,71809865.0,0.05,0.0
2026-03-11 14:40:00,1399.99,1399.58,1400.0,1399.5,-0.03,-0.4,685,95888881.0,0.04,0.01
2026-03-11 14:45:00,1399.59,1399.3,1399.66,1399.28,-0.02,-0.28,508,71092797.0,0.03,0.0
2026-03-11 14:50:00,1399.3,1399.73,1400.0,1399.3,0.03,0.43,527,73765334.0,0.05,0.0
2026-03-11 14:55:00,1399.7,1399.7,1399.95,1399.61,0.0,-0.03,421,58929496.0,0.02,0.0
2026-03-11 15:00:00,1399.7,1400.0,1400.0,1399.7,0.02,0.3,489,68469543.0,0.02,0.0
2026-03-12 09:35:00,1395.0,1393.0,1398.02,1391.01,-0.5,-7.0,2260,314970487.0,0.5,0.02
2026-03-12 09:40:00,1393.1,1395.0,1395.01,1393.09,0.14,2.0,734,102334410.0,0.14,0.01
2026-03-12 09:45:00,1395.0,1396.22,1396.6,1394.0,0.09,1.22,711,99202063.0,0.19,0.01
2026-03-12 09:50:00,1396.22,1394.43,1398.0,1394.0,-0.13,-1.79,811,113208981.0,0.29,0.01
2026-03-12 09:55:00,1394.56,1394.12,1395.02,1393.17,-0.02,-0.31,862,120170316.0,0.13,0.01
2026-03-12 10:00:00,1394.12,1394.52,1395.87,1394.01,0.03,0.4,625,87191957.0,0.13,0.0
2026-03-12 10:05:00,1394.65,1399.0,1399.38,1394.51,0.32,4.48,629,87817191.0,0.35,0.01
2026-03-12 10:10:00,1398.53,1400.53,1400.53,1398.07,0.11,1.53,744,104067059.0,0.18,0.01
2026-03-12 10:15:00,1400.07,1401.16,1401.99,1400.0,0.04,0.63,577,80754927.0,0.14,0.0
2026-03-12 10:20:00,1401.17,1400.26,1401.17,1399.2,-0.06,-0.9,448,62779048.0,0.14,0.0
2026-03-12 10:25:00,1400.03,1401.36,1402.1,1400.01,0.08,1.1,461,64598688.0,0.15,0.0
2026-03-12 10:30:00,1401.36,1403.52,1403.52,1401.36,0.15,2.16,512,71792890.0,0.15,0.0
2026-03-12 10:35:00,1403.58,1400.62,1403.95,1400.2,-0.21,-2.9,757,106130381.0,0.27,0.01
2026-03-12 10:40:00,1400.5,1399.0,1402.0,1399.0,-0.12,-1.62,844,118251006.0,0.21,0.01
2026-03-12 10:45:00,1399.93,1396.92,1399.93,1396.92,-0.15,-2.08,537,75092785.0,0.22,0.0
2026-03-12 10:50:00,1396.97,1395.0,1398.09,1395.0,-0.14,-1.92,609,85000404.0,0.22,0.0
2026-03-12 10:55:00,1394.8,1395.42,1396.95,1394.3,0.03,0.42,421,58731375.0,0.19,0.0
2026-03-12 11:00:00,1395.08,1394.62,1395.38,1394.49,-0.06,-0.8,392,54670216.0,0.06,0.0
2026-03-12 11:05:00,1394.61,1393.49,1394.91,1393.03,-0.08,-1.13,515,71809866.0,0.13,0.0
2026-03-12 11:10:00,1393.5,1393.59,1393.98,1393.03,0.01,0.1,364,50728783.0,0.07,0.0
2026-03-12 11:15:00,1393.67,1393.06,1394.5,1393.0,-0.04,-0.53,400,55740219.0,0.11,0.0
2026-03-12 11:20:00,1393.05,1393.05,1394.58,1393.05,0.0,-0.01,265,36898841.0,0.11,0.0
2026-03-12 11:25:00,1393.06,1392.3,1393.19,1392.3,-0.05,-0.75,668,93051920.0,0.06,0.01
2026-03-12 11:30:00,1392.28,1391.7,1392.28,1391.53,-0.04,-0.6,507,70567878.0,0.05,0.0
2026-03-12 13:05:00,1391.73,1392.35,1392.39,1391.3,0.05,0.65,774,107730671.0,0.08,0.01
2026-03-12 13:10:00,1392.35,1392.88,1392.9,1391.7,0.04,0.53,422,58741487.0,0.09,0.0
2026-03-12 13:15:00,1392.89,1391.93,1393.1,1391.92,-0.07,-0.95,295,41074647.0,0.08,0.0
2026-03-12 13:20:00,1391.91,1392.21,1392.21,1391.68,0.02,0.28,304,42312276.0,0.04,0.0
2026-03-12 13:25:00,1392.21,1392.1,1392.97,1392.1,-0.01,-0.11,290,40386063.0,0.06,0.0
2026-03-12 13:30:00,1392.2,1392.5,1392.54,1392.08,0.03,0.4,241,33554075.0,0.03,0.0
2026-03-12 13:35:00,1392.51,1394.2,1395.01,1392.51,0.12,1.7,367,51091893.0,0.18,0.0
2026-03-12 13:40:00,1393.71,1393.3,1393.78,1392.93,-0.06,-0.9,389,54202738.0,0.06,0.0
2026-03-12 13:45:00,1393.39,1393.42,1394.06,1393.24,0.01,0.12,293,40828639.0,0.06,0.0
2026-03-12 13:50:00,1393.42,1393.51,1394.0,1393.25,0.01,0.09,288,40131064.0,0.05,0.0
2026-03-12 13:55:00,1393.5,1391.87,1393.5,1391.52,-0.12,-1.64,619,86196982.0,0.14,0.0
2026-03-12 14:00:00,1391.91,1392.35,1392.35,1391.91,0.03,0.48,383,53356996.0,0.03,0.0
2026-03-12 14:05:00,1392.36,1392.53,1392.56,1392.11,0.01,0.18,374,52070389.0,0.03,0.0
2026-03-12 14:10:00,1392.37,1393.2,1393.87,1392.37,0.05,0.67,375,52242408.0,0.11,0.0
2026-03-12 14:15:00,1393.79,1393.87,1393.87,1393.33,0.05,0.67,330,45989392.0,0.04,0.0
2026-03-12 14:20:00,1393.88,1394.7,1394.97,1393.88,0.06,0.83,380,52986120.0,0.08,0.0
2026-03-12 14:25:00,1394.7,1396.15,1396.16,1394.7,0.1,1.45,523,72996949.0,0.1,0.0
2026-03-12 14:30:00,1396.15,1400.96,1401.54,1396.15,0.34,4.81,1066,149149888.0,0.39,0.01
2026-03-12 14:35:00,1400.86,1399.69,1401.27,1398.0,-0.09,-1.27,758,106063755.0,0.23,0.01
2026-03-12 14:40:00,1399.75,1399.43,1400.53,1399.01,-0.02,-0.26,728,101914069.0,0.11,0.01
2026-03-12 14:45:00,1399.45,1399.04,1399.9,1399.04,-0.03,-0.39,503,70397680.0,0.06,0.0
2026-03-12 14:50:00,1399.0,1398.47,1399.05,1398.31,-0.04,-0.57,493,68949017.0,0.05,0.0
2026-03-12 14:55:00,1398.46,1396.85,1398.47,1396.34,-0.12,-1.62,688,96132099.0,0.15,0.01
